148
./saves/copytask/RNN/HS_128_NL_modrelu_lr_0.0002_BS_10_rinit_henaff_iinit_xavier_decay_0_alpha_0.99/400/
Copy task
RNN
Cuda: False
modrelu
128
Update 202, Time for Update: 0.14682769775390625 , Average Loss: 0.05899455398321152, Accuracy: 0.28
Update 203, Time for Update: 0.21831202507019043 , Average Loss: 0.055360130965709686, Accuracy: 0.35
Update 204, Time for Update: 0.23949313163757324 , Average Loss: 0.05998992919921875, Accuracy: 0.2
Update 205, Time for Update: 0.3445436954498291 , Average Loss: 0.059145428240299225, Accuracy: 0.31
Update 206, Time for Update: 0.3230006694793701 , Average Loss: 0.060889195650815964, Accuracy: 0.27
Update 207, Time for Update: 0.25028157234191895 , Average Loss: 0.05619450658559799, Accuracy: 0.32
Update 208, Time for Update: 0.15598082542419434 , Average Loss: 0.055520378053188324, Accuracy: 0.31
Update 209, Time for Update: 0.15401768684387207 , Average Loss: 0.05983533710241318, Accuracy: 0.27
Update 210, Time for Update: 0.15633749961853027 , Average Loss: 0.06297163665294647, Accuracy: 0.27
Update 211, Time for Update: 0.1502821445465088 , Average Loss: 0.06012680381536484, Accuracy: 0.18
Update 212, Time for Update: 0.15313100814819336 , Average Loss: 0.05782703682780266, Accuracy: 0.25
Update 213, Time for Update: 0.15201759338378906 , Average Loss: 0.059004176408052444, Accuracy: 0.25
Update 214, Time for Update: 0.14879107475280762 , Average Loss: 0.05681027099490166, Accuracy: 0.3
Update 215, Time for Update: 0.15065598487854004 , Average Loss: 0.05937650799751282, Accuracy: 0.22
Update 216, Time for Update: 0.1501147747039795 , Average Loss: 0.05054166167974472, Accuracy: 0.42
Update 217, Time for Update: 0.15044665336608887 , Average Loss: 0.054409194737672806, Accuracy: 0.28
Update 218, Time for Update: 0.15370821952819824 , Average Loss: 0.05306900665163994, Accuracy: 0.33
Update 219, Time for Update: 0.14735865592956543 , Average Loss: 0.0510445237159729, Accuracy: 0.37
Update 220, Time for Update: 0.1471729278564453 , Average Loss: 0.05219957232475281, Accuracy: 0.43
Update 221, Time for Update: 0.1484670639038086 , Average Loss: 0.0544474832713604, Accuracy: 0.36
Update 222, Time for Update: 0.14964628219604492 , Average Loss: 0.054991237819194794, Accuracy: 0.37
Update 223, Time for Update: 0.1501307487487793 , Average Loss: 0.0538356676697731, Accuracy: 0.4
Update 224, Time for Update: 0.14830994606018066 , Average Loss: 0.05638343095779419, Accuracy: 0.28
Update 225, Time for Update: 0.1499495506286621 , Average Loss: 0.055577851831912994, Accuracy: 0.33
Update 226, Time for Update: 0.15015625953674316 , Average Loss: 0.05218242481350899, Accuracy: 0.3
Update 227, Time for Update: 0.14788150787353516 , Average Loss: 0.05189930647611618, Accuracy: 0.35
Update 228, Time for Update: 0.14972591400146484 , Average Loss: 0.053849708288908005, Accuracy: 0.29
Update 229, Time for Update: 0.14967131614685059 , Average Loss: 0.056994903832674026, Accuracy: 0.28
Update 230, Time for Update: 0.15015602111816406 , Average Loss: 0.05197376012802124, Accuracy: 0.38
Update 231, Time for Update: 0.1511974334716797 , Average Loss: 0.0582394078373909, Accuracy: 0.23
Update 232, Time for Update: 0.15459513664245605 , Average Loss: 0.06555353105068207, Accuracy: 0.2
Update 233, Time for Update: 0.1479172706604004 , Average Loss: 0.05772518366575241, Accuracy: 0.26
Update 234, Time for Update: 0.14957070350646973 , Average Loss: 0.053299497812986374, Accuracy: 0.27
Update 235, Time for Update: 0.14982390403747559 , Average Loss: 0.05132291838526726, Accuracy: 0.39
Update 236, Time for Update: 0.14635825157165527 , Average Loss: 0.056598059833049774, Accuracy: 0.28
Update 237, Time for Update: 0.1492002010345459 , Average Loss: 0.05150904133915901, Accuracy: 0.29
Update 238, Time for Update: 0.15043354034423828 , Average Loss: 0.056726954877376556, Accuracy: 0.33
Update 239, Time for Update: 0.14809417724609375 , Average Loss: 0.057363688945770264, Accuracy: 0.36
Update 240, Time for Update: 0.14844584465026855 , Average Loss: 0.05793694779276848, Accuracy: 0.3
Update 241, Time for Update: 0.15051746368408203 , Average Loss: 0.05744319036602974, Accuracy: 0.37
Update 242, Time for Update: 0.15034174919128418 , Average Loss: 0.05740389972925186, Accuracy: 0.32
Update 243, Time for Update: 0.15037035942077637 , Average Loss: 0.05541535094380379, Accuracy: 0.31
Update 244, Time for Update: 0.14598369598388672 , Average Loss: 0.05875932425260544, Accuracy: 0.26
Update 245, Time for Update: 0.1503744125366211 , Average Loss: 0.08608986437320709, Accuracy: 0.22
Update 246, Time for Update: 0.15050983428955078 , Average Loss: 0.11406562477350235, Accuracy: 0.28
Update 247, Time for Update: 0.148360013961792 , Average Loss: 0.22122633457183838, Accuracy: 0.03
Update 248, Time for Update: 0.14729571342468262 , Average Loss: 0.4982603192329407, Accuracy: 0.23
Update 249, Time for Update: 0.14660120010375977 , Average Loss: 0.3691524565219879, Accuracy: 0.0
Update 250, Time for Update: 0.16233038902282715 , Average Loss: 0.5124056339263916, Accuracy: 0.2
Update 251, Time for Update: 0.1504967212677002 , Average Loss: 0.2633970379829407, Accuracy: 0.01
Update 252, Time for Update: 0.17136931419372559 , Average Loss: 0.13891546428203583, Accuracy: 0.07
Update 253, Time for Update: 0.15087461471557617 , Average Loss: 0.10705763101577759, Accuracy: 0.11
Update 254, Time for Update: 0.1500711441040039 , Average Loss: 0.09279946982860565, Accuracy: 0.15
Update 255, Time for Update: 0.14887309074401855 , Average Loss: 0.0865800604224205, Accuracy: 0.22
Update 256, Time for Update: 0.1509532928466797 , Average Loss: 0.08869323134422302, Accuracy: 0.09
Update 257, Time for Update: 0.1528613567352295 , Average Loss: 0.08297748118638992, Accuracy: 0.29
Update 258, Time for Update: 0.15047621726989746 , Average Loss: 0.08358754217624664, Accuracy: 0.14
Update 259, Time for Update: 0.1508183479309082 , Average Loss: 0.08316147327423096, Accuracy: 0.35
Update 260, Time for Update: 0.1512589454650879 , Average Loss: 0.08340436220169067, Accuracy: 0.12
Update 261, Time for Update: 0.14993739128112793 , Average Loss: 0.08480692654848099, Accuracy: 0.28
Update 262, Time for Update: 0.151320219039917 , Average Loss: 0.08410083502531052, Accuracy: 0.1
Update 263, Time for Update: 0.15039587020874023 , Average Loss: 0.09823287278413773, Accuracy: 0.42
Update 264, Time for Update: 0.15085434913635254 , Average Loss: 0.1523585021495819, Accuracy: 0.0
Update 265, Time for Update: 0.1510016918182373 , Average Loss: 0.17662018537521362, Accuracy: 0.25
Update 266, Time for Update: 0.15782880783081055 , Average Loss: 0.25222501158714294, Accuracy: 0.0
Update 267, Time for Update: 0.3026409149169922 , Average Loss: 0.0942593514919281, Accuracy: 0.33
Update 268, Time for Update: 0.17126250267028809 , Average Loss: 0.08815047144889832, Accuracy: 0.11
Update 269, Time for Update: 0.24277400970458984 , Average Loss: 0.07647795975208282, Accuracy: 0.25
Update 270, Time for Update: 0.3129401206970215 , Average Loss: 0.07717642188072205, Accuracy: 0.22
Update 271, Time for Update: 0.6273784637451172 , Average Loss: 0.07007741928100586, Accuracy: 0.34
Update 272, Time for Update: 0.32019758224487305 , Average Loss: 0.06929268687963486, Accuracy: 0.28
